NOMBRE DE ESTACION,COORDENADA CENTRAL,BORDES1,BORDE2,BORDE3,BORDE4
Estación Canaval y Moreyra,"-12.096455257442711, -77.02488667244116","-12.095494287589716, -77.02455322590639","-12.095585808676912, -77.02433677815576","-12.098211306524187, -77.02560036502432","-12.098108346310077, -77.02580511289653"
Estación Aramburú - surquillo,"-12.103440096078042, -77.02738218132392","-12.103160790608364, -77.02742643777162","-12.10318439389879, -77.02732451383145","-12.103901013206215, -77.02734261911586","-12.104002457846606, -77.02747343578964"
Estación Domingo Orué,"-12.108525788817602, -77.02641674990961","-12.10833831995714, -77.02649234808123","-12.108336177455165, -77.0264014111505","-12.108567567569544, -77.02637292488303","-12.108584707570044, -77.02644961868005"
Estacion Angamos,"-12.113139435177683, -77.02593927520533","-12.112200771684618, -77.0260923245705","-12.112187167841617, -77.02589753446937","-12.114873913382995, -77.02597405915195","-12.11488071523612, -77.02609928135983"
Estación Ricardo Palma,"-12.118355548276247, -77.02603493826823","-12.117899379215306, -77.02619804656817","-12.117891961825757, -77.0260425247008","-12.120393106467338, -77.02537061325471","-12.12048666441946, -77.02553647775714"
Estación Benavides Metropolitano,"-12.125110053768738, -77.02420259239521","-12.124965616832258, -77.02430634355028","-12.124990975994699, -77.02420033693532","-12.125295285755998, -77.02411350172943","-12.125290875472075, -77.024207103315"
Estación 28 De Julio,"-12.129396091995687, -77.02282858451015","-12.129255769154101, -77.02293157332328","-12.129238630481366, -77.02283954076688","-12.129502137452924, -77.02276722947255","-12.129495710456718, -77.02283296701283"
"Estación ""Plaza de Flores"" - Metropolitano","-12.136400676576608, -77.01867344860541","-12.136256434776227, -77.01880556332746","-12.136223652537977, -77.01873380558503","-12.136514103028436, -77.01859029010019","-12.136559342466851, -77.01864796454736"
Estación Balta,"-12.140886966548393, -77.01774787496106","-12.140586927018346, -77.01779902558654","-12.140586927018346, -77.01770809114124","-12.141462041369538, -77.01774787496106","-12.141406478639073, -77.01783028430212"
Estacion Bulevar,"-12.148397991467826, -77.02012073622298","-12.14831539394742, -77.02014286444683","-12.148323915914998, -77.02008653805883","-12.14865823904705, -77.02010866628267","-12.148689704731597, -77.02016432211845"
Estacion Estadio Union,"-12.153355210750465, -77.01964187517996","-12.153182807997533, -77.01968881383664","-12.153158553608888, -77.01961505309045","-12.153656095899306, -77.01957280829875","-12.153683627856395, -77.01963516965688"
Estación Escuela Militar,"-12.159453333851255, -77.01890482240401","-12.159100670026016, -77.01894371443382","-12.159079693724271, -77.01881362729962","-12.159857126809683, -77.0189329855978","-12.159849260719106, -77.01900942855293"
Estación Teran,"-12.168792571337605, -77.01859081816012","-12.16850854719363, -77.0188097096974","-12.1685301992691, -77.0186286030088","-12.169077868826799, -77.01832632421925","-12.169131362071909, -77.01845010217187"
Estación Rosario De Villa,"-12.17270420189493, -77.01542192432088","-12.172488331758757, -77.01568370910036","-12.1724497324444, -77.01556378534663","-12.172934367877806, -77.01511626499207","-12.172981544730739, -77.01522595135219"
Estacion Matellini Troncal,"-12.178930220352619, -77.00993823176033","-12.178609044521368, -77.01036470298376","-12.178497616079554, -77.01015817289439","-12.181013796807651, -77.00791613441031","-12.181158614960786, -77.00816465036982"
